home,away,neutral,home_goals,away_goals,home_win,draw,away_win,over25,under25,btts_yes,btts_no,home_win_close,over25_close
Brazil,Morocco,1,2,1,1.70,3.80,6.00,2.10,1.75,2.05,1.78,1.62,1.95
Argentina,Australia,1,2,0,1.30,5.00,11.0,2.05,1.80,2.40,1.55,1.28,1.90
France,Japan,1,3,1,1.55,4.20,6.50,1.95,1.85,1.95,1.85,1.50,1.80
England,USA,1,1,1,1.65,3.90,6.00,2.20,1.70,2.15,1.70,1.70,2.05
Spain,Germany,1,1,2,2.05,3.50,3.80,1.80,2.05,1.70,2.15,2.10,1.85
Netherlands,Senegal,1,2,0,1.50,4.10,7.00,2.30,1.62,2.25,1.62,1.55,2.10
Portugal,Ghana,1,3,2,1.45,4.40,7.50,1.80,2.05,1.85,1.95,1.42,1.75
Croatia,Mexico,1,0,0,2.30,3.30,3.40,2.45,1.55,2.30,1.60,2.40,2.30
Brazil,Spain,1,1,1,2.00,3.40,3.90,1.85,1.95,1.80,2.00,1.95,1.80
Argentina,France,1,2,2,2.40,3.30,3.00,1.90,1.90,1.75,2.05,2.45,1.85
Germany,Japan,1,1,2,1.60,3.90,6.20,1.90,1.90,1.90,1.90,1.55,1.85
Portugal,Morocco,1,0,1,1.65,3.70,5.80,2.30,1.62,2.40,1.55,1.62,2.20
England,Senegal,1,3,0,1.40,4.50,8.00,2.10,1.72,2.20,1.65,1.38,2.00
Netherlands,USA,1,3,1,1.55,4.00,6.50,2.20,1.70,2.05,1.78,1.52,2.05
Croatia,Japan,1,1,1,2.20,3.20,3.60,2.50,1.52,2.35,1.58,2.25,2.40
France,Morocco,1,2,0,1.50,4.10,7.00,2.20,1.70,2.35,1.58,1.45,2.10
