name,elo,attack,defense,style,shots_for,sot_for,big_for,offsides_for,possession,shots_against,sot_against,big_against,tackles,interceptions,form
Brazil,2050,1.35,0.80,possession,16.5,6.4,2.9,2.3,58,8.0,2.6,1.0,17,9.5,2-0@1850;4-1@1700;1-0@1950;3-0@1650;1-1@2000
Argentina,2080,1.30,0.78,possession,15.8,6.1,2.7,2.0,57,8.5,2.7,1.1,18,10.0,3-0@1800;2-1@1900;1-0@2000;2-0@1750;1-0@1850
France,2040,1.32,0.85,direct,15.0,5.8,2.6,2.2,54,9.0,3.0,1.3,17,9.0,4-1@1700;2-1@1950;1-1@2000;3-1@1650;2-0@1800
Spain,1990,1.25,0.88,possession,17.5,6.0,2.5,1.8,64,7.5,2.4,0.9,16,8.5,1-1@1900;2-0@1700;0-0@1950;3-1@1600;1-0@1850
England,1970,1.22,0.86,balanced,14.5,5.4,2.3,1.9,55,9.2,3.1,1.3,18,9.5,2-1@1850;1-0@1900;0-0@1950;2-0@1700;1-2@2000
Germany,1950,1.24,0.95,high_press,16.0,5.9,2.6,2.4,59,9.5,3.2,1.4,19,9.0,2-2@1900;3-1@1700;1-1@1950;2-0@1750;0-1@2000
Netherlands,1930,1.18,0.84,possession,14.0,5.2,2.2,1.7,56,9.0,2.9,1.1,17,9.5,2-0@1800;1-1@1900;2-1@1750;1-0@1850;3-0@1600
Portugal,1960,1.26,0.90,possession,15.5,5.7,2.5,2.0,57,9.3,3.0,1.2,17,9.0,3-2@1850;2-0@1700;1-1@1950;4-0@1600;1-0@1800
Croatia,1880,1.05,0.82,possession,12.5,4.4,1.8,1.6,55,10.0,3.2,1.4,19,10.5,1-1@1950;0-0@2000;2-1@1750;1-0@1850;1-1@1900
Morocco,1820,0.92,0.70,counter,9.5,3.4,1.3,1.6,44,9.5,2.8,1.1,21,11.0,2-0@1950;1-0@2000;0-0@1900;2-1@1750;1-0@1800
Japan,1810,0.98,0.88,high_press,12.0,4.3,1.7,2.1,50,11.0,3.6,1.6,20,10.5,2-1@1950;1-1@1850;1-0@1900;0-1@2050;2-0@1700
USA,1800,1.00,0.92,high_press,12.5,4.4,1.8,2.0,52,11.5,3.7,1.7,20,10.0,1-1@1850;2-1@1700;0-0@1900;1-0@1750;1-2@1950
Senegal,1790,0.96,0.86,direct,11.0,4.0,1.6,1.9,47,10.5,3.4,1.5,20,11.0,1-0@1850;2-1@1700;0-1@1950;1-0@1750;2-0@1650
Mexico,1780,0.94,0.90,balanced,12.0,4.2,1.7,2.0,51,11.0,3.6,1.6,18,9.5,0-0@1900;1-1@1800;2-0@1650;1-2@1950;1-0@1700
Australia,1730,0.85,0.95,low_block,9.0,3.2,1.2,1.5,42,12.5,4.0,1.9,22,11.5,1-0@1800;0-1@1950;2-1@1650;0-0@1850;1-1@1700
Ghana,1740,0.95,1.05,direct,11.5,4.1,1.7,2.1,48,12.0,3.9,1.8,19,10.0,2-2@1800;1-2@1950;3-1@1600;0-1@1900;2-1@1700
